Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Fri Feb 26 13:39:02 EST 2021,PendulumModelInterface.java,1614364742417,7355,7355,(I)11(R)2(I)5(R)4(I)1,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,3.2857142857142856,0.0,0.0,0.0,0.0,0.8571428571428571,2.4285714285714284,0.0,[]
,/modelData/A0UserStudy2010.arff,Fri Feb 26 13:39:02 EST 2021,PendulumModelInterface.java, 1614364742417
2,,Fri Feb 26 13:39:09 EST 2021,PendulumModelInterface.java,1614364749774,6379,6379,(I)9(R)2(I)9,0.9,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.3333333333333333,3.0,0.0,[]
3,,Fri Feb 26 13:39:16 EST 2021,PendulumModelInterface.java,1614364756938,4094,4094,(I)12,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,[]
4,,Fri Feb 26 13:39:21 EST 2021,PendulumModelInterface.java,1614364761794,5240,5240,(I)9(R)3,0.75,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.6,1.8,0.0,[]
5,,Fri Feb 26 13:39:27 EST 2021,PendulumModelInterface.java,1614364767741,5095,5095,(I)8(R)7(I)10,0.72,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.4,3.6,0.0,[]
6,,Fri Feb 26 13:39:33 EST 2021,PendulumModelInterface.java,1614364773431,26516,0,(I)15,1.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.0,[]
7,,Fri Feb 26 13:40:00 EST 2021,PendulumModelInterface.java,1614364800099,5899,5899,(I)6,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,[]
8,,Fri Feb 26 13:40:07 EST 2021,PendulumModelInterface.java,1614364807415,5885,5885,(I)4(R)1(I)1(R)1(I)5,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.4,2.0,0.0,[]
9,,Fri Feb 26 13:40:13 EST 2021,PendulumModelInterface.java,1614364813350,6694,6694,(I)14,1.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,[]
10,,Fri Feb 26 13:40:20 EST 2021,PendulumModelInterface.java,1614364820113,9435,9435,(I)12(R)8(I)5,0.68,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.8888888888888888,1.8888888888888888,0.0,[]
11,,Fri Feb 26 13:40:29 EST 2021,PendulumModelInterface.java,1614364829739,4923,4923,(I)15(R)2(I)8,0.92,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.5,5.75,0.0,[]
12,,Fri Feb 26 13:40:35 EST 2021,PendulumModelInterface.java,1614364835247,42996,0,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,0.5952380952380952,0.0,0.0,0.0,0.0,0.0,0.5952380952380952,0.0,[]
13,,Fri Feb 26 13:41:18 EST 2021,PendulumModelInterface.java,1614364878332,7852,7852,(I)9(R)6(I)7(R)3,0.64,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,1.2857142857142858,2.2857142857142856,0.0,[]
14,,Fri Feb 26 13:41:26 EST 2021,PendulumModelInterface.java,1614364886311,12478,0,(R)2(I)20(R)2(I)1,0.84,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,0.0,0.0,0.0,0.0,0.3333333333333333,1.75,0.0,[]
15,,Fri Feb 26 13:41:38 EST 2021,PendulumModelInterface.java,1614364898980,9372,9372,(I)23(R)1,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.1111111111111111,2.5555555555555554,0.0,[]
